n,rho,auc
2,0.2,0.724080223
2,0.4,0.729842424
2,0.6,0.729474706
2,0.8,0.728676698
2,1,0.737312223
3,0.2,0.795597683
3,0.4,0.795784036
3,0.6,0.797431701
3,0.8,0.799602166
3,1,0.812944538
4,0.2,0.794153477
4,0.4,0.792773809
4,0.6,0.797189649
4,0.8,0.79577421
4,1,0.797524798
5,0.2,0.802704167
5,0.4,0.802830959
5,0.6,0.801614929
5,0.8,0.808342206
5,1,0.804491258
6,0.2,0.813695275
6,0.4,0.812826401
6,0.6,0.816460336
6,0.8,0.810746909
6,1,0.81515667
7,0.2,0.822085461
7,0.4,0.821598246
7,0.6,0.82060339
7,0.8,0.827061396
7,1,0.833249626
8,0.2,0.821621594
8,0.4,0.822711304
8,0.6,0.824726908
8,0.8,0.823858011
8,1,0.824166642
9,0.2,0.820733862
9,0.4,0.820950311
9,0.6,0.821232617
9,0.8,0.822471325
9,1,0.821915521
10,0.2,0.823422587
10,0.4,0.823423424
10,0.6,0.823423424
10,0.8,0.823422169
10,1,0.823422169
