n,rho,auc
2,0.2,0.500714756
2,0.4,0.506885398
2,0.6,0.506766732
2,0.8,0.506885398
2,1,0.507200458
3,0.2,0.658426018
3,0.4,0.601482551
3,0.6,0.556419625
3,0.8,0.575990537
3,1,0.61978823
4,0.2,0.656463754
4,0.4,0.608114517
4,0.6,0.593300625
4,0.8,0.60945691
4,1,0.650822976
5,0.2,0.695276009
5,0.4,0.695925113
5,0.6,0.695210636
5,0.8,0.694796502
5,1,0.694473401
6,0.2,0.706492616
6,0.4,0.706760811
6,0.6,0.707061285
6,0.8,0.706779613
6,1,0.706267614
7,0.2,0.736139933
7,0.4,0.737022844
7,0.6,0.736971011
7,0.8,0.737114117
7,1,0.737020585
8,0.2,0.746357636
8,0.4,0.74596813
8,0.6,0.746004288
8,0.8,0.746000744
8,1,0.745799366
9,0.2,0.811022728
9,0.4,0.812890953
9,0.6,0.812667404
9,0.8,0.813999954
9,1,0.813334777
10,0.2,0.800195224
10,0.4,0.800192395
10,0.6,0.800189565
10,0.8,0.800192395
10,1,0.800186736
