n,rho,auc
2,0.2,0.58764496
2,0.4,0.58647789
2,0.6,0.585551109
2,0.8,0.585588186
2,1,0.585880013
3,0.2,0.639754914
3,0.4,0.628699521
3,0.6,0.622867678
3,0.8,0.633815133
3,1,0.651679381
4,0.2,0.643907937
4,0.4,0.640420573
4,0.6,0.640747694
4,0.8,0.668156884
4,1,0.686629044
5,0.2,0.683382222
5,0.4,0.687251957
5,0.6,0.708435205
5,0.8,0.750735745
5,1,0.779209511
6,0.2,0.74314081
6,0.4,0.750772017
6,0.6,0.767830154
6,0.8,0.784100046
6,1,0.799380239
7,0.2,0.773559352
7,0.4,0.773485646
7,0.6,0.779094909
7,0.8,0.787187177
7,1,0.79632235
8,0.2,0.790544657
8,0.4,0.788289882
8,0.6,0.789194064
8,0.8,0.791844602
8,1,0.795718889
9,0.2,0.791080141
9,0.4,0.784547433
9,0.6,0.789354855
9,0.8,0.790150984
9,1,0.791167837
10,0.2,0.790289382
10,0.4,0.790289018
10,0.6,0.790288778
10,0.8,0.790288296
10,1,0.790289141
