n,rho,auc
2,0.2,0.821922032
2,0.4,0.767973391
2,0.6,0.782456589
2,0.8,0.79221229
2,1,0.855359716
3,0.2,0.786904675
3,0.4,0.785141613
3,0.6,0.799463723
3,0.8,0.797328197
3,1,0.8042171
4,0.2,0.830580202
4,0.4,0.806060526
4,0.6,0.834809127
4,0.8,0.832662136
4,1,0.841622355
5,0.2,0.874729938
5,0.4,0.861192168
5,0.6,0.878194503
5,0.8,0.880370304
5,1,0.883076458
6,0.2,0.905769535
6,0.4,0.901433373
6,0.6,0.895916807
6,0.8,0.910199728
6,1,0.915427701
7,0.2,0.924375836
7,0.4,0.923815357
7,0.6,0.923044262
7,0.8,0.924997241
7,1,0.925647226
8,0.2,0.923701313
8,0.4,0.923784223
8,0.6,0.92350602
8,0.8,0.923572556
8,1,0.923664149
9,0.2,0.928588361
9,0.4,0.928620231
9,0.6,0.928690707
9,0.8,0.928394929
9,1,0.928708813
10,0.2,0.930225503
10,0.4,0.930225503
10,0.6,0.930225503
10,0.8,0.930225503
10,1,0.930225503
