n,rho,auc
2,0.2,0.667230856
2,0.4,0.669554661
2,0.6,0.666924654
2,0.8,0.671089268
2,1,0.67333074
3,0.2,0.72248781
3,0.4,0.723019547
3,0.6,0.724101069
3,0.8,0.72722493
3,1,0.727433154
4,0.2,0.709651522
4,0.4,0.710209002
4,0.6,0.712639879
4,0.8,0.717769216
4,1,0.729040753
5,0.2,0.712369069
5,0.4,0.711026112
5,0.6,0.710898276
5,0.8,0.713358842
5,1,0.72311178
6,0.2,0.721161037
6,0.4,0.720104772
6,0.6,0.717049804
6,0.8,0.716082226
6,1,0.720408461
7,0.2,0.734237488
7,0.4,0.729014438
7,0.6,0.728438658
7,0.8,0.726312468
7,1,0.723349389
8,0.2,0.777531114
8,0.4,0.777276882
8,0.6,0.776943486
8,0.8,0.776367206
8,1,0.775874067
9,0.2,0.780515652
9,0.4,0.78061959
9,0.6,0.780212116
9,0.8,0.780871679
9,1,0.780857789
10,0.2,0.732942293
10,0.4,0.732944028
10,0.6,0.732941714
10,0.8,0.732941714
10,1,0.732938822
