n,rho,auc
2,0.2,0.626853094
2,0.4,0.626856679
2,0.6,0.625859993
2,0.8,0.625024538
2,1,0.626733381
3,0.2,0.630689863
3,0.4,0.641676302
3,0.6,0.645552604
3,0.8,0.643860282
3,1,0.646461685
4,0.2,0.623169088
4,0.4,0.624624632
4,0.6,0.625265682
4,0.8,0.625416807
4,1,0.625347622
5,0.2,0.633527588
5,0.4,0.633980672
5,0.6,0.6342595
5,0.8,0.635726914
5,1,0.636674022
6,0.2,0.856821452
6,0.4,0.867447515
6,0.6,0.876351588
6,0.8,0.877089026
6,1,0.875098085
7,0.2,0.868076054
7,0.4,0.865913644
7,0.6,0.871313964
7,0.8,0.872604781
7,1,0.868679176
8,0.2,0.878054192
8,0.4,0.875391593
8,0.6,0.874778571
8,0.8,0.874241709
8,1,0.873581069
9,0.2,0.868371344
9,0.4,0.86889519
9,0.6,0.868450332
9,0.8,0.8692635
9,1,0.868829507
10,0.2,0.860935507
10,0.4,0.860935507
10,0.6,0.860935507
10,0.8,0.860935507
10,1,0.860935507
