n,rho,auc
2,0.2,0.50231626
2,0.4,0.503934944
2,0.6,0.514148071
2,0.8,0.506671291
2,1,0.51223918
3,0.2,0.470301372
3,0.4,0.430681774
3,0.6,0.52773171
3,0.8,0.621739881
3,1,0.590542199
4,0.2,0.505666586
4,0.4,0.512690769
4,0.6,0.511962874
4,0.8,0.515136255
4,1,0.516949893
5,0.2,0.550753483
5,0.4,0.545218474
5,0.6,0.547722799
5,0.8,0.556676102
5,1,0.566790162
6,0.2,0.568386613
6,0.4,0.560386991
6,0.6,0.563121923
6,0.8,0.564674289
6,1,0.566977602
7,0.2,0.584262938
7,0.4,0.582555931
7,0.6,0.582194456
7,0.8,0.582331354
7,1,0.586123699
8,0.2,0.565276484
8,0.4,0.566689744
8,0.6,0.566724463
8,0.8,0.569608167
8,1,0.565258104
9,0.2,0.556953716
9,0.4,0.556953716
9,0.6,0.556953716
9,0.8,0.556953716
9,1,0.556953716
10,0.2,0.556953716
10,0.4,0.556953716
10,0.6,0.556953716
10,0.8,0.556953716
10,1,0.556953716
