n,rho,auc
2,0.2,0.511563827
2,0.4,0.515010388
2,0.6,0.52462373
2,0.8,0.516417359
2,1,0.523508772
3,0.2,0.512021586
3,0.4,0.512132965
3,0.6,0.511676103
3,0.8,0.51262119
3,1,0.512206765
4,0.2,0.487821089
4,0.4,0.49649589
4,0.6,0.54326678
4,0.8,0.554593933
4,1,0.532362491
5,0.2,0.51587963
5,0.4,0.524799383
5,0.6,0.539099794
5,0.8,0.54811214
5,1,0.552021605
6,0.2,0.584050873
6,0.4,0.585187646
6,0.6,0.584883196
6,0.8,0.585610341
6,1,0.58566394
7,0.2,0.574613966
7,0.4,0.574463112
7,0.6,0.574176539
7,0.8,0.57394805
7,1,0.574832042
8,0.2,0.567668162
8,0.4,0.567867204
8,0.6,0.567301472
8,0.8,0.566987052
8,1,0.567100455
9,0.2,0.584470764
9,0.4,0.584473834
9,0.6,0.584473834
9,0.8,0.584473834
9,1,0.584473834
10,0.2,0.584476904
10,0.4,0.584473834
10,0.6,0.584473834
10,0.8,0.584476904
10,1,0.584473834
