n,rho,auc
2,0.2,0.458836068
2,0.4,0.435276591
2,0.6,0.417067298
2,0.8,0.462464702
2,1,0.476124686
3,0.2,0.499803209
3,0.4,0.502690228
3,0.6,0.502175887
3,0.8,0.502417404
3,1,0.508827615
4,0.2,0.55527083
4,0.4,0.554671252
4,0.6,0.555089481
4,0.8,0.555351343
4,1,0.557890742
5,0.2,0.628078519
5,0.4,0.62167594
5,0.6,0.625230609
5,0.8,0.628201189
5,1,0.631360834
6,0.2,0.639955338
6,0.4,0.63620571
6,0.6,0.641581764
6,0.8,0.640882261
6,1,0.639096467
7,0.2,0.631434332
7,0.4,0.634848022
7,0.6,0.636063557
7,0.8,0.634593269
7,1,0.634753399
8,0.2,0.629305679
8,0.4,0.631915598
8,0.6,0.630912955
8,0.8,0.630767113
8,1,0.631586717
9,0.2,0.63269945
9,0.4,0.632643338
9,0.6,0.632643338
9,0.8,0.632685422
9,1,0.632727506
10,0.2,0.625220941
10,0.4,0.625220941
10,0.6,0.625220941
10,0.8,0.625220941
10,1,0.625220941
