n,rho,auc
2,0.2,0.528192924
2,0.4,0.528279888
2,0.6,0.528328486
2,0.8,0.528660999
2,1,0.528660999
3,0.2,0.550238878
3,0.4,0.553672108
3,0.6,0.552116368
3,0.8,0.552647519
3,1,0.554676252
4,0.2,0.601729671
4,0.4,0.601577337
4,0.6,0.601362843
4,0.8,0.600471665
4,1,0.602496816
5,0.2,0.666282079
5,0.4,0.666197197
5,0.6,0.666335791
5,0.8,0.666812407
5,1,0.667147855
6,0.2,0.757851644
6,0.4,0.759881006
6,0.6,0.759567899
6,0.8,0.759082302
6,1,0.758633646
7,0.2,0.871312821
7,0.4,0.874052027
7,0.6,0.872633502
7,0.8,0.873042855
7,1,0.875654925
8,0.2,0.892543434
8,0.4,0.892957543
8,0.6,0.892918642
8,0.8,0.893157971
8,1,0.89343977
9,0.2,0.903232945
9,0.4,0.903626846
9,0.6,0.903773724
9,0.8,0.904005805
9,1,0.904296533
10,0.2,0.905663462
10,0.4,0.905668172
10,0.6,0.905673487
10,0.8,0.905668683
10,1,0.905678969
