n,rho,auc
2,0.2,0.610074846
2,0.4,0.604944192
2,0.6,0.610354019
2,0.8,0.613002718
2,1,0.614726581
3,0.2,0.560741964
3,0.4,0.56257648
3,0.6,0.577420062
3,0.8,0.575818137
3,1,0.577564242
4,0.2,0.652162787
4,0.4,0.65617626
4,0.6,0.665381457
4,0.8,0.653803013
4,1,0.657074697
5,0.2,0.75455588
5,0.4,0.752642181
5,0.6,0.76329815
5,0.8,0.755206642
5,1,0.770520528
6,0.2,0.815703501
6,0.4,0.825554723
6,0.6,0.819824961
6,0.8,0.820154132
6,1,0.830819933
7,0.2,0.853348953
7,0.4,0.853918726
7,0.6,0.860921004
7,0.8,0.860846732
7,1,0.862510991
8,0.2,0.861989349
8,0.4,0.869735348
8,0.6,0.877981996
8,0.8,0.876935824
8,1,0.876841209
9,0.2,0.875772178
9,0.4,0.87565036
9,0.6,0.876425023
9,0.8,0.876362806
9,1,0.876294055
10,0.2,0.883388883
10,0.4,0.883389396
10,0.6,0.883388883
10,0.8,0.883389396
10,1,0.883388883
