n,rho,auc
2,0.2,0.732947782
2,0.4,0.704745953
2,0.6,0.686932418
2,0.8,0.715822949
2,1,0.765036187
3,0.2,0.80730517
3,0.4,0.80750517
3,0.6,0.812082247
3,0.8,0.815943692
3,1,0.815972318
4,0.2,0.823675378
4,0.4,0.823640354
4,0.6,0.823671836
4,0.8,0.823701297
4,1,0.823793602
5,0.2,0.883052541
5,0.4,0.886762015
5,0.6,0.888101866
5,0.8,0.88723051
5,1,0.888973542
6,0.2,0.882967504
6,0.4,0.885806751
6,0.6,0.886745025
6,0.8,0.88831945
6,1,0.890444122
7,0.2,0.8837741
7,0.4,0.883809027
7,0.6,0.883805838
7,0.8,0.883600411
7,1,0.883742623
8,0.2,0.885628128
8,0.4,0.885628128
8,0.6,0.885627835
8,0.8,0.885628275
8,1,0.885628128
9,0.2,0.885628275
9,0.4,0.885628128
9,0.6,0.885627835
9,0.8,0.885627982
9,1,0.885627835
10,0.2,0.885628128
10,0.4,0.885628128
10,0.6,0.885627982
10,0.8,0.885628128
10,1,0.885628128
