Degree,P(k<=K)
0,1.0
1,1.0
2,0.7400819042743794
3,0.4023547478884054
4,0.2513437420015357
5,0.17839774763245456
6,0.13386229843869976
7,0.10186844125927821
8,0.08088047094957768
9,0.06347581264397235
10,0.051190171487074485
11,0.042999744049142564
12,0.035129255183004866
13,0.028346557460967495
14,0.02412336831328385
15,0.01996416687995905
16,0.017020732019452266
17,0.013949321730227796
18,0.01215766572818019
19,0.010429997440491426
20,0.008638341438443818
21,0.007486562579984643
22,0.006590734578960839
23,0.005886869721013565
24,0.0047990785769132325
25,0.0043511645764013306
26,0.0035833120040952137
27,0.0033913488610186845
28,0.0030714102892244687
29,0.0027514717174302534
30,0.002367545431277195
31,0.0021755822882006653
32,0.001983619145124136
33,0.0017916560020476069
34,0.0015996928589710776
35,0.0013437420015357051
36,0.001151778858459176
37,0.0010238034297414896
38,0.0009598157153826465
39,0.0007678525723061172
40,0.0007038648579472741
41,0.000639877143588431
42,0.000639877143588431
43,0.000639877143588431
44,0.000575889429229588
45,0.0005119017148707448
46,0.0004479140005119017
47,0.0004479140005119017
48,0.0004479140005119017
49,0.0004479140005119017
50,0.0004479140005119017
51,0.0004479140005119017
52,0.0003839262861530586
53,0.0003839262861530586
54,0.0003199385717942155
55,0.0003199385717942155
56,0.0003199385717942155
57,0.0003199385717942155
58,0.0003199385717942155
59,0.0003199385717942155
60,0.0001919631430765293
61,0.0001919631430765293
62,0.0001279754287176862
63,6.39877143588431e-05
64,6.39877143588431e-05
65,6.39877143588431e-05
66,6.39877143588431e-05
67,6.39877143588431e-05
68,6.39877143588431e-05
69,6.39877143588431e-05
