Degree,P(k<=K)
0,1.0
1,1.0
2,0.7490566037735849
3,0.6245283018867924
4,0.5037735849056604
5,0.41132075471698115
6,0.32264150943396225
7,0.2811320754716981
8,0.22830188679245284
9,0.18490566037735848
10,0.1509433962264151
11,0.12075471698113208
12,0.10754716981132076
13,0.09811320754716982
14,0.08113207547169811
15,0.07169811320754717
16,0.06415094339622641
17,0.05660377358490566
18,0.04905660377358491
19,0.035849056603773584
20,0.024528301886792454
21,0.020754716981132074
22,0.020754716981132074
23,0.013207547169811321
24,0.009433962264150943
25,0.009433962264150943
26,0.007547169811320755
27,0.005660377358490566
28,0.0018867924528301887
29,0.0018867924528301887
30,0.0018867924528301887
31,0.0018867924528301887
32,0.0018867924528301887
33,0.0018867924528301887
34,0.0018867924528301887
35,0.0018867924528301887
36,0.0018867924528301887
37,0.0018867924528301887
38,0.0018867924528301887
39,0.0018867924528301887
40,0.0018867924528301887
41,0.0018867924528301887
42,0.0018867924528301887
43,0.0018867924528301887
44,0.0018867924528301887
45,0.0018867924528301887
46,0.0018867924528301887
47,0.0018867924528301887
48,0.0018867924528301887
49,0.0018867924528301887
50,0.0018867924528301887
51,0.0018867924528301887
